visitor,visitor_score,home,home_score
Oklahoma City Thunder,120,Los Angeles Lakers,85
New Orleans Pelicans,88,Miami Heat,94
Chicago Bulls,105,Oklahoma City Thunder,96
Cleveland Cavaliers,83,Golden State Warriors,89
San Antonio Spurs,84,Houston Rockets,88
Los Angeles Clippers,94,Los Angeles Lakers,84
Washington Wizards,111,Brooklyn Nets,96
Toronto Raptors,111,Milwaukee Bucks,90
Memphis Grizzlies,92,Charlotte Hornets,98
Houston Rockets,108,New Orleans Pelicans,110
Miami Heat,108,Orlando Magic,101
New York Knicks,98,Atlanta Hawks,117
Boston Celtics,99,Detroit Pistons,93
Indiana Pacers,102,Minnesota Timberwolves,88
Chicago Bulls,111,Dallas Mavericks,118
Denver Nuggets,86,San Antonio Spurs,101
Philadelphia 76ers,111,Phoenix Suns,104
Los Angeles Clippers,109,Utah Jazz,104
Cleveland Cavaliers,76,Portland Trail Blazers,105
Los Angeles Lakers,96,Memphis Grizzlies,112
New York Knicks,91,Boston Celtics,100
Denver Nuggets,112,Oklahoma City Thunder,122
Portland Trail Blazers,98,Sacramento Kings,94
Los Angeles Lakers,98,Charlotte Hornets,108
Atlanta Hawks,87,Indiana Pacers,93
New Orleans Pelicans,89,Orlando Magic,104
Los Angeles Clippers,108,Washington Wizards,91
Brooklyn Nets,111,Miami Heat,105
Toronto Raptors,97,Chicago Bulls,104
Milwaukee Bucks,93,Dallas Mavericks,103
Minnesota Timberwolves,95,San Antonio Spurs,101
Cleveland Cavaliers,101,Phoenix Suns,97
Philadelphia 76ers,91,Utah Jazz,95
Sacramento Kings,103,Golden State Warriors,122
Detroit Pistons,96,New York Knicks,108
Atlanta Hawks,121,Houston Rockets,115
Miami Heat,90,Memphis Grizzlies,99
Milwaukee Bucks,123,Oklahoma City Thunder,131
Cleveland Cavaliers,93,Denver Nuggets,87
Los Angeles Clippers,122,Charlotte Hornets,117
Brooklyn Nets,93,Orlando Magic,100
Los Angeles Lakers,112,Boston Celtics,104
Washington Wizards,91,Toronto Raptors,94
Indiana Pacers,100,Chicago Bulls,102
Utah Jazz,80,Minnesota Timberwolves,94
Golden State Warriors,91,Dallas Mavericks,114
Phoenix Suns,79,San Antonio Spurs,112
Denver Nuggets,103,Portland Trail Blazers,110
Philadelphia 76ers,110,Sacramento Kings,105
Minnesota Timberwolves,90,Detroit Pistons,115
Milwaukee Bucks,120,Indiana Pacers,116
Golden State Warriors,114,Houston Rockets,110
Los Angeles Clippers,95,New Orleans Pelicans,89
Phoenix Suns,106,Oklahoma City Thunder,110
Portland Trail Blazers,96,Utah Jazz,109
Orlando Magic,91,Washington Wizards,103
Dallas Mavericks,82,Miami Heat,106
Charlotte Hornets,94,Toronto Raptors,104
New York Knicks,81,Chicago Bulls,108
Philadelphia 76ers,84,Los Angeles Lakers,93
Brooklyn Nets,100,Boston Celtics,97
Phoenix Suns,119,Sacramento Kings,142
Oklahoma City Thunder,109,Charlotte Hornets,90
Detroit Pistons,82,Indiana Pacers,94
Orlando Magic,79,Cleveland Cavaliers,104
Milwaukee Bucks,95,Minnesota Timberwolves,85
New Orleans Pelicans,105,Dallas Mavericks,98
Houston Rockets,103,San Antonio Spurs,121
Memphis Grizzlies,87,Utah Jazz,92
Denver Nuggets,108,Golden State Warriors,111
Philadelphia 76ers,99,Los Angeles Clippers,130
Atlanta Hawks,97,New York Knicks,111
Chicago Bulls,115,Toronto Raptors,113
Miami Heat,97,Washington Wizards,75
Portland Trail Blazers,112,Denver Nuggets,106
Phoenix Suns,77,Los Angeles Lakers,97
Toronto Raptors,100,Cleveland Cavaliers,122
Minnesota Timberwolves,99,Philadelphia 76ers,109
Boston Celtics,103,Brooklyn Nets,94
Orlando Magic,89,Detroit Pistons,115
Indiana Pacers,100,Miami Heat,103
San Antonio Spurs,123,Milwaukee Bucks,98
Sacramento Kings,116,Oklahoma City Thunder,104
Houston Rockets,93,Utah Jazz,91
Memphis Grizzlies,91,Portland Trail Blazers,78
Charlotte Hornets,101,Golden State Warriors,111
New York Knicks,107,Atlanta Hawks,101
Milwaukee Bucks,106,Chicago Bulls,117
Sacramento Kings,116,Dallas Mavericks,117
Golden State Warriors,109,Los Angeles Lakers,88
New York Knicks,98,Miami Heat,90
Indiana Pacers,95,Orlando Magic,86
Cleveland Cavaliers,121,Washington Wizards,115
Detroit Pistons,99,Boston Celtics,94
Toronto Raptors,91,Brooklyn Nets,74
Denver Nuggets,78,Minnesota Timberwolves,74
Dallas Mavericks,100,New Orleans Pelicans,91
Utah Jazz,98,San Antonio Spurs,123
Charlotte Hornets,102,Phoenix Suns,111
Memphis Grizzlies,94,Oklahoma City Thunder,112
Los Angeles Clippers,109,Portland Trail Blazers,98
Atlanta Hawks,126,Philadelphia 76ers,98
Boston Celtics,92,Chicago Bulls,101
Utah Jazz,94,Houston Rockets,103
Los Angeles Lakers,115,Sacramento Kings,118
Toronto Raptors,97,Washington Wizards,88
Orlando Magic,83,Brooklyn Nets,77
Denver Nuggets,84,Memphis Grizzlies,91
Dallas Mavericks,95,Milwaukee Bucks,96
Cleveland Cavaliers,125,Minnesota Timberwolves,99
Indiana Pacers,91,New Orleans Pelicans,86
New York Knicks,99,San Antonio Spurs,100
Miami Heat,103,Phoenix Suns,95
Golden State Warriors,128,Portland Trail Blazers,108
Oklahoma City Thunder,117,Los Angeles Lakers,113
Charlotte Hornets,83,Los Angeles Clippers,97
Chicago Bulls,105,Atlanta Hawks,120
Washington Wizards,105,Orlando Magic,99
Brooklyn Nets,89,Detroit Pistons,103
Toronto Raptors,108,Philadelphia 76ers,95
Miami Heat,83,Utah Jazz,98
Golden State Warriors,128,Sacramento Kings,116
New Orleans Pelicans,111,Los Angeles Clippers,114
Dallas Mavericks,93,Minnesota Timberwolves,87
Boston Celtics,98,Memphis Grizzlies,101
Cleveland Cavaliers,95,Philadelphia 76ers,85
Indiana Pacers,103,Houston Rockets,107
Milwaukee Bucks,88,New York Knicks,100
Charlotte Hornets,92,Denver Nuggets,95
Oklahoma City Thunder,110,Portland Trail Blazers,115
Utah Jazz,86,Los Angeles Lakers,74
San Antonio Spurs,106,Brooklyn Nets,79
Washington Wizards,114,Chicago Bulls,100
Miami Heat,103,Golden State Warriors,111
Phoenix Suns,97,Indiana Pacers,116
San Antonio Spurs,109,Detroit Pistons,99
Boston Celtics,114,New York Knicks,120
Houston Rockets,107,Memphis Grizzlies,91
Chicago Bulls,101,Milwaukee Bucks,106
Oklahoma City Thunder,101,Minnesota Timberwolves,96
Cleveland Cavaliers,110,Dallas Mavericks,107
New Orleans Pelicans,91,Los Angeles Lakers,95
Atlanta Hawks,84,Charlotte Hornets,107
Milwaukee Bucks,101,Washington Wizards,106
New York Knicks,104,Brooklyn Nets,110
Indiana Pacers,94,Boston Celtics,103
Minnesota Timberwolves,104,Houston Rockets,107
Dallas Mavericks,89,Oklahoma City Thunder,108
Golden State Warriors,110,Denver Nuggets,112
Utah Jazz,85,Portland Trail Blazers,99
New Orleans Pelicans,109,Sacramento Kings,97
Miami Heat,90,Los Angeles Clippers,104
Toronto Raptors,106,Orlando Magic,103
Chicago Bulls,115,Philadelphia 76ers,111
